index,gsid,url,title,author,summary
0,1,https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/917,Where's the AI?,RC Schank,I survey four viewpoints about what AI is. I describe a program exhibiting AI as one that can   Because AI is a machine’s attempt to explain the behavior of the (human) system it is trying...
1,2,https://onlinelibrary.wiley.com/doi/abs/10.1155/2021/8812542,A Review of Artificial Intelligence (AI) in Education from 2010 to 2020,"X Zhai, X Chu, CS Chai, MSY Jong, A Istenic","artificial intelligence (AI) has been applied to the education sector and explore the potential  research trends and challenges of AI in  , as well as an assessment of AI in education, were..."
2,3,https://www.elindependiente.com/wp-content/uploads/2018/12/Informe-AI-Now.pdf,AI now report 2018,"M Whittaker, K Crawford, R Dobbe, G Fried, E Kaziunas","implications of AI technologies. It is the first university research center focused specifically on  AI’s  and Meredith Whittaker, AI Now is one of the few women-led AI institutes in the world...."
3,4,https://www.sciencedirect.com/science/article/pii/S1472648314004854,Double stimulations during the follicular and luteal phases of poor responders in IVF/ICSI programmes (Shanghai protocol),"Y Kuang, Q Chen, Q Hong, Q Lyu, A Ai, Y Fu","Previous studies have shown that existing antral follicles in the luteal phase enable ovarian  stimulation. In a pilot study, the efficacy of double stimulations during the follicular and luteal..."
4,5,https://experts.illinois.edu/en/publications/ai-now-2017-report,AI now 2017 report,"A Campolo, MR Sanfilippo, M Whittaker, K Crawford","Building on the inaugural 2016 report, the AI Now 2017 Report addresses the most recent  scholarly literature in order to raise critical social questions that will shape our present and..."
5,6,https://www.sciencedirect.com/science/article/pii/S0015028215002277,Medroxyprogesterone acetate is an effective oral alternative for preventing premature luteinizing hormone surges in women undergoing controlled ovarian …,"Y Kuang, Q Chen, Y Fu, Y Wang, Q Hong, Q Lyu, A Ai",Objective To investigate the use of medroxyprogesterone acetate (MPA) to prevent LH surge  during controlled ovarian hyperstimulation (COH) and to compare cycle characteristics and...
6,7,https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/623,"What is AI, anyway?",RC Schank,"goals of artificial intelligence, and a proposal of ten fundamental problems in AI research are   of the Yale AI technical reports In this context, examples of research conducted at the Yale..."
7,8,https://radensa.ru/wp-content/uploads/2024/05/Role_of_AI_in_Education.pdf,Role of AI in Education.,A Harry,"Artificial intelligence (AI) has the potential to revolutionize the  AI in education refers to the  use of artificial intelligence  AI has the potential to revolutionize the way we learn and teach,..."
8,9,http://webster.cs.uga.edu/students/syllabi_pdf/CIS_CSCI_4550.pdf,AI a modern approach,"S Russell, P Norvig","Student Outcomes a. An ability to apply knowledge of computing and mathematics appropriate  to the discipline. b. An ability to analyze a problem, and identify and define the computing..."
9,10,https://link.springer.com/article/10.1007/s10639-022-11491-w,A review of AI teaching and learning from 2000 to 2020,"DTK Ng, M Lee, RJY Tan, X Hu, JS Downie",associate AI literacy with other skills including communication and collaboration using AI (eg  Long and Magerko (2020) referred AI literacy to digital competencies necessary in which AI...
10,11,https://www.sciencedirect.com/science/article/pii/S0015028213030574,"Luteal-phase ovarian stimulation is feasible for producing competent oocytes in women undergoing in vitro fertilization/intracytoplasmic sperm injection treatment, with …","Y Kuang, Q Hong, Q Chen, Q Lyu, A Ai, Y Fu",Objective To explore the feasibility of luteal-phase ovarian stimulation using hMG and  letrozole in terms of ovarian response and pregnancy outcome using frozen-thawed embryo...
11,12,https://www.journals.uchicago.edu/doi/abs/10.1086/699936,AI and the Economy,"J Furman, R Seamans","We review the evidence that artificial intelligence (AI) is having a large effect on the  shipments,  AI start-ups, and patent counts—there is evidence of a large increase in AI-related activity..."
12,13,https://link.springer.com/article/10.1007/s43681-021-00043-6,Sustainable AI: AI for sustainability and the sustainability of AI,A Van Wynsberghe,(AI ethicists) begin a movement towards sustainable AI as a way of connecting the dots  between AI ( AI’ is a field of research that applies to the technology of AI (the hardware powering...
13,14,https://www.researchgate.net/profile/Rudolf-M-Oosthuizen/publication/362530500_The_Fourth_Industrial_Revolution_STARA_Industrial_Psychologists_in_future_workplaces/links/62ee886588b83e7320b36d34/The-Fourth-Industrial-Revolution-STARA-Industrial-Psychologists-in-future-workplaces.pdf,The fourth industrial revolution,AI AI,"Industrial Psychologists could also assist researchers by understanding their employees'  responses to their new AI ""colleagues"" through theories and by creating interventions to enable..."
14,15,https://books.google.com/books?hl=en&lr=&id=yDQTDAAAQBAJ&oi=fnd&pg=PP1&dq=AI&ots=T2hj-B75Ie&sig=wnaJcO6noYXdkCjrDMTEqrV3Mtw,AI: Its nature and future,MA Boden,", AI has  , AI has challenged the ways in which we think about humanity—and its future.  Indeed, some people worry about whether we actually have a future, because they foresee AI..."
15,16,https://www.bioethics.miami.edu/_assets/pdf/information-technology-and-ethics/ai-and-big-data-resources/ai-in-healthcare-and-research.pdf,Artificial intelligence (AI) in healthcare and research,WI Ai,"AI to display some human characteristics. • The use of AI raises ethical issues, including:  the potential for AI to make erroneous decisions; the question of who is responsible when AI is..."
16,17,https://dl.acm.org/doi/abs/10.1145/3475799,Understanding and creating art with AI: Review and outlook,"E Cetinic, J She","This article provides an integrated review of two facets of AI and art: (1) AI is used for art  to  the role of AI in creating art, we address various practical and theoretical aspects of AI Art a..."
17,18,https://dl.acm.org/doi/fullHtml/10.1145/332148.332153,Applications of AI in Education,"J Beck, M Stern, E Haugsjaa",Computers have been used in education for over 20 years. Computer-based training (CBT)  and computer aided instruction (CAI) were the first such systems deployed as an attempt to...
18,19,https://www.sciencedirect.com/science/article/pii/S074756322030354X,Attachment and trust in artificial intelligence,"O Gillath, T Ai, MS Branicky, S Keshmiri","of the benefits artificial intelligence (AI) has to offer. Most research on trust in AI focuses  on cognitive ways to boost trust. Here, instead, we focus on boosting trust in AI via affective..."
19,20,https://www.nejm.org/doi/abs/10.1056/NEJMsr2214184,"Benefits, limits, and risks of GPT-4 as an AI chatbot for medicine","P Lee, S Bubeck, J Petro","Here we describe another type of AI, the medical AI chatbot.  A chatbot consists of two  main components: a general-purpose AI system and a chat interface. This article considers..."
20,21,https://ieeexplore.ieee.org/abstract/document/5586133/,The 2009 mario ai competition,"J Togelius, S Karakovskiy",focusing on platform game AI. The only published paper on AI for platform games we know   Some other papers have described uses of AI techniques for automatic generation of levels...
21,22,https://web.library.yale.edu/sites/default/files/files/fn00117.pdf,AI: artificial intelligence,S Spielberg,"All jokes aside, though, there are some truly touching moments in AI: ARTIFICIAL  INTELLIGENCE. The scene where David asks the Blue Fairy to turn him into a real boy is a..."
22,23,https://link.springer.com/chapter/10.1007/978-3-030-20680-2_1,AI for management: An overview,"D Gil, S Hobson, A Mojsilović, R Puri","the role of AI in business  AI strategy, supported by an understanding of the value of AI to  the organization and a focus on needs, including data and skills, to appropriately execute the AI..."
23,24,https://onlinelibrary.wiley.com/doi/abs/10.1111/ejed.12533,State of the art and practice in AI in education,"W Holmes, I Tuomi","In this article, we provide a review of existing AI systems in education and their  of using AI  in education and learning, show how these are grounded in different interpretations of what AI..."
24,25,https://www.microsoft.com/en-us/research/uploads/prod/2022/06/Aether-Overreliance-on-AI-Review-Final-6.21.22.pdf,Overreliance on AI literature review,"S Passi, M Vorvoreanu","This report synthesizes~ 60 research papers about overreliance on AI. The papers originate  from a variety of disciplines, including Human-Computer Interaction (HCI); Human Factors;..."
25,26,https://www.authorea.com/doi/full/10.22541/au.163699841.19031727,DARPA's explainable AI (XAI) program: A retrospective,"D Gunning, E Vorm, Y Wang, M Turek","We believe the toolkit will be of broad interest to anyone who deploys AI capabilities in  operational settings and needs to validate, characterize and trust AI performance across a wide..."
26,27,https://www.nature.com/articles/s41591-021-01614-0,AI in health and medicine,"P Rajpurkar, E Chen, O Banerjee, EJ Topol","We also address several promising avenues for novel medical AI research, including non-  AI research in the form of novel data sources and discuss collaboration setups between AI and..."
27,28,https://ieeexplore.ieee.org/abstract/document/362628/,The challenges of real-time AI,"DJ Musliner, JA Hendler, AK Agrawala, EH Durfee",AI systems are in Our goal is to identify promising areas for future research in both realtime  and AI techniques. We describe an organizing conceptual structure for current real-time AI...
28,29,https://www.taylorfrancis.com/chapters/edit/10.1201/9781351251389-3/basic-ai-drives-stephen-omohundro,The basic AI drives,SM Omohundro,"behavior of any sufficiently advanced artificial intelligence (AI) system. This  “artificial  intelligence,” we mean that it has goals which it tries to accomplish by acting in the world. If an AI..."
29,30,https://www.aepd.es/sites/default/files/2019-09/ai-definition.pdf,High-level expert group on artificial intelligence,H Ai,"In the following we will use the term AI system to mean any AI-based component, software  and/or hardware. Indeed, usually AI systems are embedded as components of larger systems,..."
30,31,https://arxiv.org/abs/2103.06312,The AI index 2021 annual report,"D Zhang, S Mishra, E Brynjolfsson","AI development from multiple perspectives. The Technical Performance chapter discusses  how an AI  , and our Economy chapter suggests that AI hiring and private investment were not..."
31,32,https://arxiv.org/abs/1711.09883,AI safety gridworlds,"J Leike, M Martic, V Krakovna, PA Ortega","We present a suite of reinforcement learning environments illustrating various safety properties  of intelligent agents. These problems include safe interruptibility, avoiding side effects,..."
32,33,https://www.sciencedirect.com/science/article/pii/S1871402120300771,Artificial Intelligence (AI) applications for COVID-19 pandemic,"R Vaishya, M Javaid, IH Khan, A Haleem",-AI treatment versus AI-based treatment. The above flow diagram explains the involvement of  AI in the  with the AI application. Major symptoms and test analysis are done with the help of...
33,34,https://dl.acm.org/doi/abs/10.1145/3600211.3604681,AI Art and its Impact on Artists,"HH Jiang, L Brown, J Cheng, M Khan, A Gupta",We define “generative artificial intelligence (AI)” to encompass machine learning products  that feature models whose output spaces overlap in part or in full with their input spaces...
34,35,https://ai-plans.com/file_storage/4f32fa39-3a01-46c7-878e-c92b7aa7165f_2212.08073v1.pdf,Constitutional ai: Harmlessness from ai feedback,"Y Bai, S Kadavath, S Kundu, A Askell",We also aim to develop methods that encode desirable AI behavior in a simple and  and  evaluate AI decision making. In this paper we develop a method we refer to as Constitutional AI (...
35,36,https://www.sciencedirect.com/science/article/pii/S2666920X21000199,AI technologies for education: Recent research & future directions,"K Zhang, AB Aslan","From unique educational perspectives, this article reports a comprehensive review of selected  empirical studies on artificial intelligence in education (AIEd) published in 1993–2020, as..."
36,37,https://dl.acm.org/doi/abs/10.5555/151188,AI: the tumultuous history of the search for artificial intelligence,D Crevier,The DARPA Explainable Artificial Intelligence (AI) (XAI) Program focused on generating  explanations for AI programs that use machine learning techniques. This article highlights...
37,38,https://ieeexplore.ieee.org/abstract/document/9098011/,Artificial intelligence (AI) in agriculture,SY Liu,"research so that readers can understand the range of AI-powered solutions within ARS.   AI is shifting the way our food is produced, distributed, and consumed. Researchers use AI-..."
38,39,https://link.springer.com/article/10.1007/s40593-021-00270-2,"Education for AI, not AI for Education: The Role of Education and Ethics in National AI Policy Strategies",D Schiff,"referring to Education for AI, substantially surpassing discussion of AI for Education. All 24   Education for AI topics. At least 22 documents discuss two of the three Education for AI topics,..."
39,40,https://www.tandfonline.com/doi/abs/10.1080/19368623.2021.1926037,Anthropomorphism and customers' willingness to use artificial intelligence service agents,"Y Yang, Y Liu, X Lv, J Ai, Y Li",service agents with more anthropomorphic designs and prefer less human-like AI service   to use AI service agents. Our findings also have important implications for AI service agents...
40,41,https://academic.oup.com/bjd/article-abstract/183/3/423/6748151,What is AI? Applications of artificial intelligence to dermatology,"X Du‐Harpur, FM Watt, NM Luscombe","Here we explain the concepts of AI, machine learning, neural  AI has the potential to assist  in the diagnosis of skin lesions  algorithms in the field of artificial intelligence (AI). This has led..."
41,42,https://sloanreview.mit.edu/projects/winning-with-ai/,Winning with AI,"S Ransbotham, S Khodabandeh","in AI, fewer than 2 out of 5 report business gains from AI in the  AI. Even so, this means  40% of organizations making significant investments in AI do not report business gains from AI..."
42,43,https://www.science.org/doi/abs/10.1126/science.aat5991,How AI can be a force for good,"M Taddeo, L Floridi","Artificial intelligence (AI) is not just a new technology that requires regulation. It is a powerful  force that is reshaping daily practices, personal and professional interactions, and..."
43,44,https://books.google.com/books?hl=en&lr=&id=TmquDwAAQBAJ&oi=fnd&pg=PR7&dq=AI&ots=RswfosD7G8&sig=NcO7dYHS5kux4dilBJ3v2UvAkkI,Introduction to AI robotics,RR Murphy,"key AI concepts from all subdisciplines of AI throughout the text. Indeed, a review of the first  edition of this book for AI  to artificial intelligence. For those readers with a background in..."
44,45,https://onlinelibrary.wiley.com/doi/abs/10.1111/ejed.12532,The future of AI and education: Some cautionary notes,N Selwyn,"In light of fast-growing popular, political and professional discourses around AI  AI rather  than the overselling of speculative AI technologies; (2) clearly foregrounding the limitations of AI..."
45,46,https://dl.acm.org/doi/abs/10.1145/3381831,Green ai,"R Schwartz, J Dodge, NA Smith, O Etzioni","This article identifies key factors that contribute to Red AI and advocates the introduction  of a simple, easy-to-compute efficiency metric that could help make some AI research..."
